dataset	ID	adj.P.Val	logFC	symbol	abs_logFC	direction
GSE62254	244470_at	1.18e-05	0.138		0.138	Up
GSE62254	31874_at	1.34e-05	-0.189	GAS2L1	0.189	Down
GSE62254	227544_at	1.36e-05	-0.143	TMEM229B	0.143	Down
GSE62254	227636_at	1.36e-05	-0.119	THAP5	0.119	Down
GSE62254	217640_x_at	1.36e-05	-0.281	SKA1	0.281	Down
GSE62254	231016_s_at	1.36e-05	0.122	ARNT	0.122	Up
GSE62254	215991_s_at	1.15e-05	-0.126	EMC1	0.126	Down
GSE62254	1554017_at	1.3e-05	-0.0853	RILPL1///SNRNP35	0.0853	Down
GSE62254	201762_s_at	1.31e-05	-0.147	MIR7703///PSME2	0.147	Down
GSE62254	235805_at	1.23e-05	0.25		0.25	Up
GSE62254	226117_at	1.4e-05	-0.182	TIFA	0.182	Down
GSE62254	1557586_s_at	1.18e-05	0.168	ATP6V1H	0.168	Up
GSE62254	229095_s_at	1.31e-05	0.472	LOC100507334///LOC100288570///LIMS3-LOC440895///LOC440895	0.472	Up
GSE62254	221516_s_at	1.46e-05	0.126	MIEF1	0.126	Up
GSE62254	228819_at	1.36e-05	0.148	TSPAN18	0.148	Up
GSE62254	224460_s_at	1.46e-05	-0.191	L2HGDH	0.191	Down
GSE62254	222646_s_at	1.48e-05	-0.209	ERO1A	0.209	Down
GSE62254	232269_x_at	1.52e-05	-0.212	METRN	0.212	Down
GSE62254	221472_at	1.54e-05	0.107	SERINC3	0.107	Up
GSE62254	218345_at	1.55e-05	0.298	TMEM176A	0.298	Up
GSE62254	235244_at	1.55e-05	-0.206	CCDC58	0.206	Down
GSE62254	207254_at	1.47e-05	0.348	SLC15A1	0.348	Up
GSE62254	226460_at	1.6e-05	0.165	FNIP2	0.165	Up
GSE62254	200691_s_at	1.56e-05	-0.113	HSPA9	0.113	Down
GSE62254	205169_at	1.61e-05	0.146	RBBP5	0.146	Up
GSE62254	224367_at	1.51e-05	0.499	BEX2	0.499	Up
GSE62254	204775_at	1.62e-05	-0.138	CHAF1B	0.138	Down
GSE62254	218719_s_at	1.62e-05	-0.167	GINS3	0.167	Down
GSE62254	228345_at	1.6e-05	0.345	CHIC1	0.345	Up
GSE62254	240263_at	1.44e-05	0.227		0.227	Up
GSE62254	233591_at	1e-05	-0.0648	LOC101930164	0.0648	Down
GSE62254	202534_x_at	1.66e-05	-0.174	DHFR	0.174	Down
GSE62254	225516_at	1.64e-05	0.36	SLC7A2	0.36	Up
GSE62254	219648_at	1.67e-05	-0.153	MREG	0.153	Down
GSE62254	201123_s_at	1.67e-05	-0.208	EIF5A	0.208	Down
GSE62254	223181_at	1.69e-05	-0.169	TIMM21	0.169	Down
GSE62254	239680_at	1.62e-05	-0.28	WDR76	0.28	Down
GSE62254	218823_s_at	1.69e-05	-0.171	KCTD9	0.171	Down
GSE62254	1555785_a_at	1.69e-05	-0.216	XRN1	0.216	Down
GSE62254	226556_at	1.69e-05	-0.176	MAP3K13	0.176	Down
GSE62254	1552711_a_at	1.69e-05	-0.136	CYB5D1	0.136	Down
GSE62254	200945_s_at	1.69e-05	0.148	SEC31A	0.148	Up
GSE62254	228046_at	1.7e-05	0.266	ZNF827	0.266	Up
GSE62254	201753_s_at	1.7e-05	0.196	ADD3	0.196	Up
GSE62254	244023_at	1.51e-05	0.183	SYK	0.183	Up
GSE62254	230270_at	1.69e-05	0.242	PRPF38B	0.242	Up
GSE62254	213236_at	1.73e-05	0.132	SASH1	0.132	Up
GSE62254	34187_at	1.72e-05	-0.103	RBMS2	0.103	Down
GSE62254	228834_at	1.76e-05	0.285	TOB1	0.285	Up
GSE62254	209867_s_at	1.72e-05	0.182	ADGRL3	0.182	Up
GSE62254	209729_at	1.85e-05	-0.146	GAS2L1	0.146	Down
GSE62254	203628_at	1.76e-05	0.286	IGF1R	0.286	Up
GSE62254	204444_at	1.88e-05	-0.179	KIF11	0.179	Down
GSE62254	222909_s_at	1.88e-05	-0.211	BAG4	0.211	Down
GSE62254	207795_s_at	1.88e-05	-0.291	KLRD1	0.291	Down
GSE62254	238812_at	1.69e-05	0.216		0.216	Up
GSE62254	238015_at	1.91e-05	-0.201	C4orf46	0.201	Down
GSE62254	227432_s_at	1.91e-05	0.149		0.149	Up
GSE62254	219440_at	1.87e-05	0.317	RAI2	0.317	Up
GSE62254	212057_at	1.91e-05	0.168	GSE1	0.168	Up
GSE62254	217309_s_at	1.88e-05	-0.133	DSCR3	0.133	Down
GSE62254	1557900_at	1.56e-05	-0.0894	SIM2	0.0894	Down
GSE62254	231669_at	1.76e-05	0.237	SEPP1	0.237	Up
GSE62254	242439_s_at	1.83e-05	0.187	ASXL1	0.187	Up
GSE62254	233228_at	1.87e-05	0.214		0.214	Up
GSE62254	212254_s_at	1.96e-05	0.255	DST	0.255	Up
GSE62254	223213_s_at	1.96e-05	0.172	ZHX1	0.172	Up
GSE62254	239824_s_at	1.96e-05	-0.154	TMEM107	0.154	Down
GSE62254	228723_at	1.91e-05	0.235	NPTN-IT1	0.235	Up
GSE62254	217818_s_at	2.04e-05	-0.0984	ARPC4	0.0984	Down
GSE62254	1561004_at	1.56e-05	-0.0818	PRKCQ-AS1	0.0818	Down
GSE62254	202975_s_at	2.06e-05	0.37	RHOBTB3	0.37	Up
GSE62254	243618_s_at	2.07e-05	0.245	ZNF827	0.245	Up
GSE62254	223220_s_at	2.08e-05	-0.188	PARP9	0.188	Down
GSE62254	235349_at	2.06e-05	0.226	RMDN2	0.226	Up
GSE62254	209294_x_at	2.12e-05	-0.195	TNFRSF10B	0.195	Down
GSE62254	230848_s_at	2.12e-05	0.124	MGA	0.124	Up
GSE62254	217917_s_at	2.13e-05	0.131	DYNLRB1	0.131	Up
GSE62254	227599_at	2.15e-05	0.201	MB21D2	0.201	Up
GSE62254	203881_s_at	2.15e-05	0.31	DMD	0.31	Up
GSE62254	203979_at	2.15e-05	0.163	CYP27A1	0.163	Up
GSE62254	238810_at	1.64e-05	-0.144	RFX3	0.144	Down
GSE62254	216114_at	2.03e-05	-0.0695	NCKIPSD	0.0695	Down
GSE62254	228496_s_at	2.18e-05	0.157	CRIM1	0.157	Up
GSE62254	213002_at	2.19e-05	0.167	MARCKS	0.167	Up
GSE62254	206034_at	2.19e-05	-0.202	SERPINB8	0.202	Down
GSE62254	1555148_a_at	1.64e-05	-0.104	M1AP	0.104	Down
GSE62254	228335_at	1.88e-05	0.314	CLDN11	0.314	Up
GSE62254	222680_s_at	2.22e-05	-0.234	DTL	0.234	Down
GSE62254	219504_s_at	2.21e-05	-0.107	RPAP2	0.107	Down
GSE62254	215606_s_at	2.19e-05	0.17	ERC1	0.17	Up
GSE62254	217759_at	2.29e-05	0.175	TRIM44	0.175	Up
GSE62254	205527_s_at	2.29e-05	-0.136	GEMIN4	0.136	Down
GSE62254	228248_at	2.29e-05	0.216	RICTOR	0.216	Up
GSE62254	233223_at	2.24e-05	0.264		0.264	Up
GSE62254	243982_at	2.11e-05	-0.176		0.176	Down
GSE62254	210858_x_at	2.31e-05	0.136	ATM	0.136	Up
GSE62254	227641_at	2.32e-05	-0.348	FBXL16	0.348	Down
GSE62254	37433_at	2.31e-05	-0.219	PIAS2	0.219	Down
GSE62254	214426_x_at	2.35e-05	-0.122	CHAF1A	0.122	Down
GSE62254	218963_s_at	2.27e-05	0.599	KRT23	0.599	Up
GSE62254	242467_at	2.3e-05	0.182		0.182	Up
GSE62254	244825_at	2.42e-05	0.186	SHROOM4	0.186	Up
GSE62254	206052_s_at	2.42e-05	-0.125	SLBP	0.125	Down
GSE62254	232058_at	2.42e-05	0.248		0.248	Up
GSE62254	224595_at	2.44e-05	0.154	SLC44A1	0.154	Up
GSE62254	242655_at	2.45e-05	-0.16	BARD1	0.16	Down
GSE62254	1560305_x_at	1.88e-05	-0.0886	FKBP4	0.0886	Down
GSE62254	208511_at	2.45e-05	-0.162	PTTG3P	0.162	Down
GSE62254	202373_s_at	2.46e-05	0.113	RAB3GAP2///AURKAPS1	0.113	Up
GSE62254	210865_at	2.31e-05	-0.173	FASLG	0.173	Down
GSE62254	225202_at	2.51e-05	0.363	RHOBTB3	0.363	Up
GSE62254	224215_s_at	2.51e-05	0.226	DLL1	0.226	Up
GSE62254	202834_at	2.52e-05	0.441	AGT	0.441	Up
GSE62254	217478_s_at	2.51e-05	-0.333	HLA-DMA	0.333	Down
GSE62254	209040_s_at	2.5e-05	-0.171	PSMB8	0.171	Down
GSE62254	208723_at	2.54e-05	0.152	USP11	0.152	Up
GSE62254	217718_s_at	2.31e-05	0.0777	YWHAB	0.0777	Up
GSE62254	235727_at	2.56e-05	-0.124	KLHL28	0.124	Down
GSE62254	1569898_a_at	2.47e-05	-0.14	PAXIP1-AS2	0.14	Down
GSE62254	210612_s_at	2.58e-05	0.173	SYNJ2	0.173	Up
GSE62254	222778_s_at	2.58e-05	-0.172	WHSC1	0.172	Down
GSE62254	200814_at	2.46e-05	-0.122	PSME1	0.122	Down
GSE62254	237719_x_at	1.77e-05	0.121	RGS7BP	0.121	Up
GSE62254	222881_at	2.57e-05	-0.242	HPSE	0.242	Down
GSE62254	228442_at	2.6e-05	0.227	NFATC2	0.227	Up
GSE62254	212583_at	2.56e-05	0.142	AQR	0.142	Up
GSE62254	209815_at	2.64e-05	0.267	PTCH1	0.267	Up
GSE62254	215189_at	2.45e-05	-0.115	LOC100509764///KRT86	0.115	Down
GSE62254	1555514_a_at	2.7e-05	-0.142	PIAS2	0.142	Down
GSE62254	207259_at	2.67e-05	0.425	LINC00483	0.425	Up
GSE62254	203964_at	2.7e-05	-0.156	NMI	0.156	Down
GSE62254	229084_at	2.56e-05	0.236	CNTN4	0.236	Up
GSE62254	213110_s_at	2.72e-05	0.397	COL4A5	0.397	Up
GSE62254	216228_s_at	2.76e-05	-0.225	WDHD1	0.225	Down
GSE62254	228100_at	2.63e-05	0.265	PIFO	0.265	Up
GSE62254	212173_at	2.79e-05	-0.136	AK2	0.136	Down
GSE62254	244020_at	2.44e-05	-0.157		0.157	Down
GSE62254	240758_at	2.04e-05	0.114		0.114	Up
GSE62254	218883_s_at	2.82e-05	-0.222	CENPU	0.222	Down
GSE62254	208844_at	2.7e-05	-0.16	VDAC3	0.16	Down
GSE62254	213964_x_at	2.1e-05	-0.113	RPARP-AS1	0.113	Down
GSE62254	209239_at	2.94e-05	-0.127	NFKB1	0.127	Down
GSE62254	226766_at	2.47e-05	0.273	ROBO2	0.273	Up
GSE62254	210372_s_at	2.83e-05	0.394	TPD52L1	0.394	Up
GSE62254	229888_at	2.76e-05	-0.206	C12orf60	0.206	Down
GSE62254	239246_at	3.03e-05	0.275	FARP1	0.275	Up
GSE62254	208944_at	3.03e-05	0.186	TGFBR2	0.186	Up
GSE62254	234976_x_at	2.85e-05	-0.207	MTHFD2	0.207	Down
GSE62254	207485_x_at	3.07e-05	-0.132	BTN3A1	0.132	Down
GSE62254	209049_s_at	3.1e-05	0.168	ZMYND8	0.168	Up
GSE62254	203458_at	3.1e-05	-0.118	SPR	0.118	Down
GSE62254	209506_s_at	3.1e-05	0.113	NR2F2///NR2F1	0.113	Up
GSE62254	217673_x_at	3.1e-05	0.116	GNAS	0.116	Up
GSE62254	235588_at	3.14e-05	-0.262	ESCO2	0.262	Down
GSE62254	1559910_at	2.81e-05	0.176		0.176	Up
GSE62254	224225_s_at	3.17e-05	-0.257	ETV7	0.257	Down
GSE62254	204719_at	2.79e-05	0.435	ABCA8	0.435	Up
GSE62254	209017_s_at	3.19e-05	-0.117	LONP1	0.117	Down
GSE62254	225741_at	3.21e-05	-0.171	THUMPD3	0.171	Down
GSE62254	217627_at	3.16e-05	0.234	ZNF573	0.234	Up
GSE62254	213198_at	3.31e-05	0.169	ACVR1B	0.169	Up
GSE62254	244485_at	3.21e-05	-0.172	HLA-DPB1	0.172	Down
GSE62254	235919_at	3.32e-05	-0.188	CEP78	0.188	Down
GSE62254	214442_s_at	3.32e-05	-0.166	PIAS2	0.166	Down
GSE62254	230779_at	3.33e-05	0.17	TNRC6B	0.17	Up
GSE62254	207941_s_at	3.28e-05	0.0925	RBM39	0.0925	Up
GSE62254	236957_at	3.33e-05	-0.252	CDCA2	0.252	Down
GSE62254	205506_at	3.34e-05	0.443	VIL1	0.443	Up
GSE62254	214118_x_at	3.39e-05	-0.142	PCM1	0.142	Down
GSE62254	214086_s_at	3.43e-05	-0.12	PARP2	0.12	Down
GSE62254	203115_at	3.51e-05	-0.225	FECH	0.225	Down
GSE62254	209493_at	3.48e-05	0.263	PDZD2	0.263	Up
GSE62254	202976_s_at	3.59e-05	0.364	RHOBTB3	0.364	Up
GSE62254	213835_x_at	3.62e-05	-0.106	GTPBP3	0.106	Down
GSE62254	224701_at	3.8e-05	-0.163	PARP14	0.163	Down
GSE62254	235809_at	3.26e-05	-0.117	LIN54	0.117	Down
GSE62254	210768_x_at	3.84e-05	0.176	TMCO1	0.176	Up
GSE62254	218542_at	3.85e-05	-0.178	CEP55	0.178	Down
GSE62254	201491_at	3.82e-05	-0.112	AHSA1	0.112	Down
GSE62254	236565_s_at	3.84e-05	0.375	LARP6	0.375	Up
GSE62254	221736_at	3.88e-05	0.102	RALGAPB	0.102	Up
GSE62254	204131_s_at	3.88e-05	0.18	FOXO3	0.18	Up
GSE62254	243589_at	3.41e-05	0.252	KANSL1	0.252	Up
GSE62254	212694_s_at	3.94e-05	-0.168	PCCB	0.168	Down
GSE62254	202732_at	3.98e-05	0.199	PKIG	0.199	Up
GSE62254	218889_at	4.01e-05	-0.137	NOC3L	0.137	Down
GSE62254	1554099_a_at	3.36e-05	0.156	SPIN3	0.156	Up
GSE62254	1553392_at	2.79e-05	-0.117	LOC102724660///EFCAB3	0.117	Down
GSE62254	201890_at	3.97e-05	-0.182	RRM2	0.182	Down
GSE62254	229461_x_at	3.42e-05	0.282	NEGR1	0.282	Up
GSE62254	225234_at	4.23e-05	0.108	CBL	0.108	Up
GSE62254	213041_s_at	4.23e-05	-0.162	ATP5D	0.162	Down
GSE62254	200780_x_at	3.89e-05	0.12	GNAS	0.12	Up
GSE62254	241840_at	3.59e-05	-0.0947		0.0947	Down
GSE62254	215343_at	4.21e-05	-0.22	CCDC88C	0.22	Down
GSE62254	213830_at	4.29e-05	-0.222	YME1L1	0.222	Down
GSE62254	225550_at	4.39e-05	0.0991	CNST	0.0991	Up
GSE62254	220265_at	3.42e-05	-0.158	GPR107	0.158	Down
GSE62254	217737_x_at	4.39e-05	0.109	RTFDC1	0.109	Up
GSE62254	238590_x_at	4.42e-05	-0.15	TMEM107	0.15	Down
GSE62254	212148_at	4.42e-05	0.327	PBX1	0.327	Up
GSE62254	213924_at	4.09e-05	0.209	GNAL	0.209	Up
GSE62254	201122_x_at	4.42e-05	-0.154	EIF5A	0.154	Down
GSE62254	226889_at	4.42e-05	0.2	WDR35	0.2	Up
GSE62254	200981_x_at	4.22e-05	0.119	GNAS	0.119	Up
GSE62254	218841_at	4.47e-05	0.12	ASB8	0.12	Up
GSE62254	204172_at	4.47e-05	-0.148	CPOX	0.148	Down
GSE62254	223743_s_at	4.47e-05	-0.178	MRPL4	0.178	Down
GSE62254	223038_s_at	4.53e-05	0.266	FAM60A	0.266	Up
GSE62254	238909_at	4.57e-05	0.263	S100A10	0.263	Up
GSE62254	213788_s_at	4.46e-05	0.118		0.118	Up
GSE62254	200940_s_at	4.65e-05	0.139	RERE	0.139	Up
GSE62254	215559_at	4.15e-05	0.252	LOC101930322///ABCC6	0.252	Up
GSE62254	228323_at	4.76e-05	-0.175	KNL1	0.175	Down
GSE62254	231205_at	4.42e-05	0.174		0.174	Up
GSE62254	204280_at	4.59e-05	-0.095	RGS14	0.095	Down
GSE62254	203786_s_at	4.79e-05	0.483	TPD52L1	0.483	Up
GSE62254	227406_at	4.78e-05	0.125	GABPB1-AS1	0.125	Up
GSE62254	231969_at	4.17e-05	0.333	STOX2	0.333	Up
GSE62254	1556194_a_at	4.79e-05	-0.517	HSPA4L	0.517	Down
GSE62254	200976_s_at	4.67e-05	0.128	TAX1BP1	0.128	Up
GSE62254	223630_at	4.71e-05	0.184	C7orf13	0.184	Up
GSE62254	210115_at	4.76e-05	0.345	RPL39L	0.345	Up
GSE62254	228825_at	4.79e-05	0.22	PTGR1	0.22	Up
GSE62254	1560116_a_at	4.94e-05	-0.119	NEDD1	0.119	Down
GSE62254	200692_s_at	4.97e-05	-0.14	HSPA9	0.14	Down
GSE62254	211190_x_at	4.6e-05	-0.101	CD84	0.101	Down
GSE62254	207543_s_at	5.24e-05	-0.174	P4HA1	0.174	Down
GSE62254	204932_at	4.78e-05	0.43	TNFRSF11B	0.43	Up
GSE62254	1560622_at	5.35e-05	0.255		0.255	Up
GSE62254	212273_x_at	4.91e-05	0.121	GNAS	0.121	Up
GSE62254	212978_at	5.41e-05	-0.134	LRRC8B	0.134	Down
GSE62254	218115_at	5.45e-05	-0.154	ASF1B	0.154	Down
GSE62254	213098_at	5.45e-05	-0.106	CNOT9	0.106	Down
GSE62254	237782_at	4.45e-05	0.126		0.126	Up
GSE62254	224522_s_at	5.48e-05	-0.136	DCAKD	0.136	Down
GSE62254	239007_at	4.77e-05	-0.189	ZNF616	0.189	Down
GSE62254	231078_at	5.48e-05	-0.137	SLC25A37	0.137	Down
GSE62254	205848_at	5.3e-05	0.32	GAS2	0.32	Up
GSE62254	243751_at	4.79e-05	0.207	CHD2	0.207	Up
GSE62254	218021_at	5.65e-05	-0.166	DHRS4L2///DHRS4	0.166	Down
GSE62254	223700_at	5.7e-05	-0.249	MND1	0.249	Down
GSE62254	241371_at	5.71e-05	-0.162	TNFRSF10A	0.162	Down
GSE62254	202531_at	5.71e-05	-0.195	IRF1	0.195	Down
GSE62254	233078_at	4.73e-05	0.197	API5	0.197	Up
GSE62254	242409_at	4.22e-05	-0.0658		0.0658	Down
GSE62254	204271_s_at	5.84e-05	0.234	EDNRB	0.234	Up
GSE62254	231548_at	5.7e-05	0.11	FOXO3	0.11	Up
GSE62254	1555120_at	4.75e-05	-0.248	CD96	0.248	Down
GSE62254	225123_at	5.94e-05	0.269	SESN3	0.269	Up
GSE62254	218393_s_at	5.96e-05	-0.137	SMU1	0.137	Down
GSE62254	219490_s_at	5.96e-05	-0.131	DCLRE1B	0.131	Down
GSE62254	243868_at	5.91e-05	-0.177	RFX3	0.177	Down
GSE62254	202589_at	5.85e-05	-0.191	TYMS	0.191	Down
GSE62254	218812_s_at	5.19e-05	0.0923	ORAI2	0.0923	Up
GSE62254	218616_at	6.06e-05	-0.117	INTS12	0.117	Down
GSE62254	236769_at	6.06e-05	0.202	LOC158402	0.202	Up
GSE62254	219304_s_at	6.03e-05	0.271	PDGFD	0.271	Up
GSE62254	201525_at	5.65e-05	0.354	APOD	0.354	Up
GSE62254	219081_at	6.08e-05	-0.135	ANKHD1-EIF4EBP3///ANKHD1	0.135	Down
GSE62254	1552682_a_at	5.48e-05	-0.211	KNL1	0.211	Down
GSE62254	205742_at	5.7e-05	-0.285	TNNI3	0.285	Down
GSE62254	240422_at	5.72e-05	0.335		0.335	Up
GSE62254	201392_s_at	6.14e-05	0.146	IGF2R	0.146	Up
GSE62254	232392_at	5.65e-05	0.197	SRSF3	0.197	Up
GSE62254	233955_x_at	6.17e-05	0.242	CXXC5	0.242	Up
GSE62254	1570523_s_at	5.84e-05	-0.196	ATG10	0.196	Down
GSE62254	239253_at	5.71e-05	-0.318		0.318	Down
GSE62254	217590_s_at	6.21e-05	0.341	TRPA1	0.341	Up
GSE62254	236480_at	4.82e-05	-0.131	MIR210HG	0.131	Down
GSE62254	202565_s_at	6.36e-05	0.211	SVIL	0.211	Up
GSE62254	222640_at	6.36e-05	0.183	DNMT3A	0.183	Up
GSE62254	205935_at	6.36e-05	0.259	FOXF1	0.259	Up
GSE62254	241906_at	5.03e-05	0.147		0.147	Up
GSE62254	200771_at	6.35e-05	0.195	LAMC1	0.195	Up
GSE62254	227478_at	5.91e-05	0.267	SETBP1	0.267	Up
GSE62254	228216_at	5.91e-05	0.157	ZBTB37	0.157	Up
GSE62254	202906_s_at	6.43e-05	-0.168	NBN	0.168	Down
GSE62254	203340_s_at	6.49e-05	-0.196	SLC25A12	0.196	Down
GSE62254	213812_s_at	6.49e-05	0.161	CAMKK2	0.161	Up
GSE62254	217429_at	4.95e-05	0.148		0.148	Up
GSE62254	221500_s_at	6.56e-05	0.115	STX16	0.115	Up
GSE62254	212226_s_at	6.58e-05	0.187	PLPP3	0.187	Up
GSE62254	206976_s_at	6.45e-05	0.19	HSPH1	0.19	Up
GSE62254	235355_at	5.19e-05	0.198	CSRNP3	0.198	Up
GSE62254	217609_at	5.48e-05	0.126	RPL13P5///LRRC23	0.126	Up
GSE62254	202586_at	6.57e-05	-0.125	POLR2L	0.125	Down
GSE62254	209434_s_at	6.74e-05	-0.155	PPAT	0.155	Down
GSE62254	1558392_at	5.54e-05	-0.124	SYNE2	0.124	Down
GSE62254	213911_s_at	6.07e-05	-0.095	H2AFZ	0.095	Down
GSE62254	226642_s_at	6.72e-05	-0.137	NUDCD2	0.137	Down
GSE62254	209773_s_at	6.61e-05	-0.18	RRM2	0.18	Down
GSE62254	209048_s_at	6.86e-05	0.17	ZMYND8	0.17	Up
GSE62254	242033_at	4.3e-05	0.146	RNF180	0.146	Up
GSE62254	217349_s_at	5.96e-05	-0.0664	PRICKLE3	0.0664	Down
GSE62254	201601_x_at	6.52e-05	-0.304	IFITM2///IFITM1	0.304	Down
GSE62254	211333_s_at	5.41e-05	-0.121	FASLG	0.121	Down
GSE62254	232541_at	6.61e-05	0.433		0.433	Up
GSE62254	226381_at	7.1e-05	0.16	SLC35F5	0.16	Up
GSE62254	1568733_at	6.19e-05	-0.0962	C10orf76	0.0962	Down
GSE62254	218002_s_at	7.19e-05	0.578	CXCL14	0.578	Up
GSE62254	209757_s_at	6.98e-05	0.334	MYCN	0.334	Up
GSE62254	59631_at	7.18e-05	-0.187	TXNRD3NB///TXNRD3	0.187	Down
GSE62254	226326_at	7.21e-05	-0.135	PCGF5	0.135	Down
GSE62254	225496_s_at	7.24e-05	0.273	SYTL2	0.273	Up
GSE62254	221906_at	7.21e-05	-0.192	TXNRD3NB///TXNRD3	0.192	Down
GSE62254	225450_at	7.24e-05	0.228	AMOTL1	0.228	Up
GSE62254	227347_x_at	7.21e-05	-0.201	HES4	0.201	Down
GSE62254	1559051_s_at	7.29e-05	-0.238	MB21D1	0.238	Down
GSE62254	205936_s_at	7.32e-05	-0.115	HK3	0.115	Down
GSE62254	202532_s_at	7.44e-05	-0.172	DHFR	0.172	Down
GSE62254	222484_s_at	7.44e-05	0.58	CXCL14	0.58	Up
GSE62254	243495_s_at	6.43e-05	0.195	ZNF652	0.195	Up
GSE62254	1554822_at	5.7e-05	-0.0904	PHTF2	0.0904	Down
GSE62254	208813_at	7.54e-05	-0.17	GOT1	0.17	Down
GSE62254	222357_at	7.3e-05	0.22	ZBTB20	0.22	Up
GSE62254	37226_at	7.68e-05	-0.113	BNIP1	0.113	Down
GSE62254	232178_at	6.21e-05	-0.0773	ZNF503	0.0773	Down
GSE62254	233877_at	6.78e-05	0.136		0.136	Up
GSE62254	209866_s_at	6.06e-05	0.212	ADGRL3	0.212	Up
GSE62254	227461_at	7.73e-05	0.217	STON2	0.217	Up
GSE62254	209054_s_at	7.77e-05	-0.138	WHSC1	0.138	Down
GSE62254	204224_s_at	7.71e-05	-0.152	GCH1	0.152	Down
GSE62254	225235_at	7.9e-05	-0.0823	TSPAN17	0.0823	Down
GSE62254	206288_at	7.9e-05	-0.189	PGGT1B	0.189	Down
GSE62254	204767_s_at	7.82e-05	-0.143	FEN1	0.143	Down
GSE62254	235490_at	6.09e-05	-0.0822	TMEM107	0.0822	Down
GSE62254	225360_at	7.99e-05	-0.0933	TRABD	0.0933	Down
GSE62254	226833_at	7.99e-05	-0.166	CYB5D1	0.166	Down
GSE62254	203322_at	7.99e-05	-0.102	ADNP2	0.102	Down
GSE62254	200741_s_at	6.48e-05	0.0335	RPS27	0.0335	Up
GSE62254	222844_s_at	7.21e-05	-0.179	SRR	0.179	Down
GSE62254	225205_at	8.08e-05	0.127	KIF3B	0.127	Up
GSE62254	212891_s_at	8.22e-05	-0.106	GADD45GIP1	0.106	Down
GSE62254	225689_at	8.22e-05	-0.164	POMGNT2	0.164	Down
GSE62254	223221_at	8.23e-05	-0.144	SCO1	0.144	Down
GSE62254	204770_at	7.75e-05	-0.127	TAP2	0.127	Down
GSE62254	201089_at	8.22e-05	-0.127	ATP6V1B2	0.127	Down
GSE62254	242438_at	8.09e-05	0.207	ASXL1	0.207	Up
GSE62254	218678_at	8.36e-05	0.189	NES	0.189	Up
GSE62254	1554770_x_at	6.43e-05	0.153	ZNF785	0.153	Up
GSE62254	225750_at	8.36e-05	-0.147	ERO1A	0.147	Down
GSE62254	204769_s_at	8.7e-05	-0.233	TAP2	0.233	Down
GSE62254	244075_at	7.74e-05	0.249		0.249	Up
GSE62254	204212_at	8.77e-05	0.118	ACOT8	0.118	Up
GSE62254	238725_at	8.83e-05	-0.228	IRF1	0.228	Down
GSE62254	239448_at	6.47e-05	0.179		0.179	Up
GSE62254	214482_at	8.38e-05	-0.125	ZBTB25	0.125	Down
GSE62254	207326_at	8.61e-05	-0.188	BTC	0.188	Down
GSE62254	234983_at	9.05e-05	0.141	C12orf49	0.141	Up
GSE62254	1553120_at	5.96e-05	-0.0619	CLSPN	0.0619	Down
GSE62254	243118_at	7.65e-05	-0.103	CEP57L1	0.103	Down
GSE62254	205372_at	7.27e-05	0.211	PLAG1	0.211	Up
GSE62254	239018_at	8.4e-05	0.0911	DNAJC30	0.0911	Up
GSE62254	205854_at	9.22e-05	0.155	TULP3	0.155	Up
GSE62254	205716_at	9.1e-05	-0.116	SLC25A40	0.116	Down
GSE62254	201225_s_at	8.99e-05	-0.0841	SRRM1	0.0841	Down
GSE62254	200853_at	8.54e-05	-0.11	H2AFZ	0.11	Down
GSE62254	232641_at	7.66e-05	-0.179	ZNF596	0.179	Down
GSE62254	213661_at	9.11e-05	0.155	PAMR1	0.155	Up
GSE62254	238496_at	9.32e-05	-0.157	WHSC1L1	0.157	Down
GSE62254	235252_at	9.36e-05	0.143	KSR1	0.143	Up
GSE62254	235381_at	9.37e-05	0.118	RSF1	0.118	Up
GSE62254	234347_s_at	7.82e-05	-0.0962	DENR	0.0962	Down
GSE62254	225596_at	9.37e-05	0.134	KLC4	0.134	Up
GSE62254	225897_at	9.37e-05	0.162	MARCKS	0.162	Up
GSE62254	242058_at	7.43e-05	0.0745		0.0745	Up
GSE62254	230134_s_at	9.37e-05	-0.142	RC3H2	0.142	Down
GSE62254	238432_at	9.39e-05	0.155	DLGAP1-AS1	0.155	Up
GSE62254	205705_at	7.73e-05	0.121	ANKRD26	0.121	Up
GSE62254	222101_s_at	9.56e-05	0.201	DCHS1	0.201	Up
GSE62254	225797_at	9.56e-05	-0.126	MRPL54	0.126	Down
GSE62254	219124_at	9.66e-05	-0.127	TTI2	0.127	Down
GSE62254	234709_at	7.77e-05	0.36	CAPN13	0.36	Up
GSE62254	242560_at	9.66e-05	-0.184	FANCD2	0.184	Down
GSE62254	244569_at	9.66e-05	-0.161	C8orf37	0.161	Down
GSE62254	239020_at	8.91e-05	-0.0888	FUT10	0.0888	Down
GSE62254	229456_s_at	9.26e-05	0.143	DDAH1	0.143	Up
GSE62254	213889_at	9.7e-05	-0.204	PIGL	0.204	Down
GSE62254	209678_s_at	9.68e-05	0.261	PRKCI	0.261	Up
GSE62254	223531_x_at	9.7e-05	0.108	GPR89A///GPR89B	0.108	Up
GSE62254	228011_at	9.7e-05	0.232	FAM92A1	0.232	Up
GSE62254	228044_at	7.82e-05	0.248	SERP2	0.248	Up
